Initial data (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
Paths of Glory                1957      8.4       0                   0                   
The Shining                   1980      8.4       0                   0                   
The Great Dictator            1940      8.4       0                   0                   
Avengers: Infinity War        2018      8.4       0                   0                   
Witness for the Prosecution   1957      8.4       0                   0                   
Aliens                        1986      8.4       0                   0                   
Spider-Man: Into the Spide... 2018      8.4       0                   0                   
American Beauty               1999      8.4       0                   0                   
Dr. Strangelove or: How I ... 1964      8.4       0                   0                   
The Dark Knight Rises         2012      8.4       0                   0                   
Oldboy                        2003      8.4       0                   0                   
Inglourious Basterds          2009      8.3       0                   0                   
Amadeus                       1984      8.4       0                   0                   
Coco                          2017      8.4       0                   0                   
Toy Story                     1995      8.3       0                   0                   
Joker                         2019      8.4       0                   0                   
Braveheart                    1995      8.4       0                   0                   
The Boat                      1981      8.4       0                   0                   
Avengers: Endgame             2019      8.4       0                   0                   
Princess Mononoke             1997      8.4       0                   0                   
Once Upon a Time in America   1984      8.3       0                   0                   
Good Will Hunting             1997      8.3       0                   0                   
Your Name.                    2016      8.4       0                   0                   
3 Idiots                      2009      8.4       0                   0                   
Singin' in the Rain           1952      8.3       0                   0                   
Requiem for a Dream           2000      8.3       0                   0                   
Toy Story 3                   2010      8.3       0                   0                   
High and Low                  1963      8.4       0                   0                   
Capernaum                     2018      8.4       0                   0                   
Star Wars: Episode VI - Re... 1983      8.3       0                   0                   
Eternal Sunshine of the Sp... 2004      8.3       0                   0                   
2001: A Space Odyssey         1968      8.3       0                   0                   
Reservoir Dogs                1992      8.3       0                   0                   
Come and See                  1985      8.4       0                   0                   
The Hunt                      2012      8.3       0                   0                   
Citizen Kane                  1941      8.3       0                   0                   
M                             1931      8.3       0                   0                   
Lawrence of Arabia            1962      8.3       0                   0                   
North by Northwest            1959      8.3       0                   0                   
Vertigo                       1958      8.3       0                   0                   
Ikiru                         1952      8.3       0                   0                   
Amélie                       2001      8.3       0                   0                   
The Apartment                 1960      8.3       0                   0                   
A Clockwork Orange            1971      8.3       0                   0                   
Double Indemnity              1944      8.3       0                   0                   
Full Metal Jacket             1987      8.3       0                   0                   
Top Gun: Maverick             2022      8.3       0                   0                   
Scarface                      1983      8.3       0                   0                   
Hamilton                      2020      8.4       0                   0                   
Incendies                     2010      8.3       0                   0                   
To Kill a Mockingbird         1962      8.3       0                   0                   
Heat                          1995      8.3       0                   0                   
The Sting                     1973      8.3       0                   0                   
Up                            2009      8.3       0                   0                   
A Separation                  2011      8.3       0                   0                   
Metropolis                    1927      8.3       0                   0                   
Taxi Driver                   1976      8.2       0                   0                   
L.A. Confidential             1997      8.2       0                   0                   
Die Hard                      1988      8.2       0                   0                   
Snatch                        2000      8.2       0                   0                   
Indiana Jones and the Last... 1989      8.2       0                   0                   
Bicycle Thieves               1948      8.3       0                   0                   
Like Stars on Earth           2007      8.3       0                   0                   
1917                          2019      8.2       0                   0                   
Downfall                      2004      8.2       0                   0                   
Dangal                        2016      8.3       0                   0                   
For a Few Dollars More        1965      8.2       0                   0                   
Batman Begins                 2005      8.2       0                   0                   
The Kid                       1921      8.3       0                   0                   
Some Like It Hot              1959      8.2       0                   0                   
The Father                    2020      8.2       0                   0                   
All About Eve                 1950      8.2       0                   0                   
The Wolf of Wall Street       2013      8.2       0                   0                   
Green Book                    2018      8.2       0                   0                   
Judgment at Nuremberg         1961      8.3       0                   0                   
Casino                        1995      8.2       0                   0                   
Ran                           1985      8.2       0                   0                   
Pan's Labyrinth               2006      8.2       0                   0                   
The Truman Show               1998      8.2       0                   0                   
There Will Be Blood           2007      8.2       0                   0                   
Unforgiven                    1992      8.2       0                   0                   
The Sixth Sense               1999      8.2       0                   0                   
Shutter Island                2010      8.2       0                   0                   
A Beautiful Mind              2001      8.2       0                   0                   
Jurassic Park                 1993      8.2       0                   0                   
Yojimbo                       1961      8.2       0                   0                   
The Treasure of the Sierra... 1948      8.2       0                   0                   
Monty Python and the Holy ... 1975      8.2       0                   0                   
The Great Escape              1963      8.2       0                   0                   
No Country for Old Men        2007      8.2       0                   0                   
Spider-Man: No Way Home       2021      8.2       0                   0                   
Kill Bill: Vol. 1             2003      8.2       0                   0                   
Rashomon                      1950      8.2       0                   0                   
The Thing                     1982      8.2       0                   0                   
Finding Nemo                  2003      8.2       0                   0                   
The Elephant Man              1980      8.2       0                   0                   
Chinatown                     1974      8.2       0                   0                   
Raging Bull                   1980      8.2       0                   0                   
V for Vendetta                2005      8.2       0                   0                   
Gone with the Wind            1939      8.2       0                   0                   
Lock, Stock and Two Smokin... 1998      8.2       0                   0                   
Inside Out                    2015      8.2       0                   0                   
Dial M for Murder             1954      8.2       0                   0                   
The Secret in Their Eyes      2009      8.2       0                   0                   
Howl's Moving Castle          2004      8.2       0                   0                   
Three Billboards Outside E... 2017      8.1       0                   0                   
The Bridge on the River Kwai  1957      8.2       0                   0                   
Trainspotting                 1996      8.1       0                   0                   
Prisoners                     2013      8.1       0                   0                   
Warrior                       2011      8.2       0                   0                   
Fargo                         1996      8.1       0                   0                   
Gran Torino                   2008      8.1       0                   0                   
My Neighbor Totoro            1988      8.1       0                   0                   
Catch Me If You Can           2002      8.1       0                   0                   
Million Dollar Baby           2004      8.1       0                   0                   
Children of Heaven            1997      8.2       0                   0                   
Blade Runner                  1982      8.1       0                   0                   
The Gold Rush                 1925      8.1       0                   0                   
Before Sunrise                1995      8.1       0                   0                   
12 Years a Slave              2013      8.1       0                   0                   
Klaus                         2019      8.2       0                   0                   
Harry Potter and the Death... 2011      8.1       0                   0                   
On the Waterfront             1954      8.1       0                   0                   
Ben-Hur                       1959      8.1       0                   0                   
Gone Girl                     2014      8.1       0                   0                   
The Grand Budapest Hotel      2014      8.1       0                   0                   
Wild Strawberries             1957      8.1       0                   0                   
The General                   1926      8.1       0                   0                   
The Third Man                 1949      8.1       0                   0                   
In the Name of the Father     1993      8.1       0                   0                   
The Deer Hunter               1978      8.1       0                   0                   
Barry Lyndon                  1975      8.1       0                   0                   
Hacksaw Ridge                 2016      8.1       0                   0                   
The Wages of Fear             1953      8.2       0                   0                   
Memories of Murder            2003      8.1       0                   0                   
Sherlock Jr.                  1924      8.2       0                   0                   
Wild Tales                    2014      8.1       0                   0                   
Mr. Smith Goes to Washington  1939      8.1       0                   0                   
Mad Max: Fury Road            2015      8.1       0                   0                   
The Seventh Seal              1957      8.1       0                   0                   
Mary and Max                  2009      8.1       0                   0                   
How to Train Your Dragon      2010      8.1       0                   0                   
Room                          2015      8.1       0                   0                   
Monsters, Inc.                2001      8.1       0                   0                   
Jaws                          1975      8.1       0                   0                   
Dead Poets Society            1989      8.1       0                   0                   
The Big Lebowski              1998      8.1       0                   0                   
Tokyo Story                   1953      8.2       0                   0                   
The Passion of Joan of Arc    1928      8.2       0                   0                   
Hotel Rwanda                  2004      8.1       0                   0                   
Ford v Ferrari                2019      8.1       0                   0                   
Rocky                         1976      8.1       0                   0                   
Platoon                       1986      8.1       0                   0                   
Ratatouille                   2007      8.1       0                   0                   
Spotlight                     2015      8.1       0                   0                   
The Terminator                1984      8.1       0                   0                   
Logan                         2017      8.1       0                   0                   
Stand by Me                   1986      8.1       0                   0                   
Rush                          2013      8.1       0                   0                   
Network                       1976      8.1       0                   0                   
Into the Wild                 2007      8.1       0                   0                   
Before Sunset                 2004      8.1       0                   0                   
The Wizard of Oz              1939      8.1       0                   0                   
Pather Panchali               1955      8.3       0                   0                   
Groundhog Day                 1993      8.1       0                   0                   
The Best Years of Our Lives   1946      8.1       0                   0                   
The Exorcist                  1973      8.1       0                   0                   
The Incredibles               2004      8         0                   0                   
To Be or Not to Be            1942      8.2       0                   0                   
La haine                      1995      8.1       0                   0                   
The Battle of Algiers         1966      8.1       0                   0                   
Pirates of the Caribbean: ... 2003      8.1       0                   0                   
Hachi: A Dog's Tale           2009      8.1       0                   0                   
The Grapes of Wrath           1940      8.1       0                   0                   
Jai Bhim                      2021      8.8       0                   0                   
My Father and My Son          2005      8.2       0                   0                   
Amores Perros                 2000      8.1       0                   0                   
Rebecca                       1940      8.1       0                   0                   
Cool Hand Luke                1967      8.1       0                   0                   
The Handmaiden                2016      8.1       0                   0                   
The 400 Blows                 1959      8.1       0                   0                   
The Sound of Music            1965      8.1       0                   0                   
It Happened One Night         1934      8.1       0                   0                   
Persona                       1966      8.1       0                   0                   
Life of Brian                 1979      8         0                   0                   
The Iron Giant                1999      8.1       0                   0                   
The Help                      2011      8.1       0                   0                   
Dersu Uzala                   1975      8.2       0                   0                   
Aladdin                       1992      8         0                   0                   
Gandhi                        1982      8         0                   0                   
Dances with Wolves            1990      8         0                   0                   
----------------------------------------------------------------------------------------------------

Filtered movies (entries count: 2):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
----------------------------------------------------------------------------------------------------
The Lord of the Rings: The... 2003      9         14084000000         3248848987          
The Dark Knight               2008      9         14119000000         1191151439          
----------------------------------------------------------------------------------------------------
